                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2052,                 14.078,                  4.445,                  3e-05,                0.00344,                  2e-05,                      0,                 5.4453,                 8.9602,                 4.1633,                0.00038,                0.00038,                0.00038
                      2,                 5.3298,                 11.084,                 4.0277,                  3e-05,                0.00344,                  2e-05,                      0,                 5.4531,                 8.7428,                 4.1793,             0.00077228,             0.00077228,             0.00077228
                      3,                 4.6752,                 6.1235,                 3.4779,                  3e-05,                0.00344,                  2e-05,                      0,                  5.457,                 5.9318,                 4.2193,              0.0011566,              0.0011566,              0.0011566
                      4,                 4.4663,                 5.5776,                 3.0095,                  6e-05,                0.00229,                  3e-05,                  1e-05,                 5.4825,                 6.1868,                 4.4176,              0.0015331,              0.0015331,              0.0015331
                      5,                 4.3267,                  4.753,                 2.8204,                  7e-05,                0.00687,                  4e-05,                  1e-05,                 4.7525,                 4.6219,                 3.2907,              0.0019016,              0.0019016,              0.0019016
                      6,                  4.113,                 4.3891,                 2.5655,                0.07147,                0.00687,                0.00663,                0.00237,                 4.2982,                 4.6417,                 3.3746,               0.001901,               0.001901,               0.001901
                      7,                 3.9751,                 4.1492,                 2.6077,                 0.1041,                0.02143,                0.01172,                0.00305,                 3.9323,                 3.4174,                 2.8824,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.9066,                 3.9778,                 2.4429,                0.03191,                  0.063,                0.00667,                0.00161,                 3.8427,                 4.1955,                  2.588,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.7344,                 3.6946,                 2.3489,                0.02235,                0.06071,                0.00524,                0.00133,                 3.7863,                 7.3314,                   2.68,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.7061,                 3.4226,                 2.2927,                0.07348,                0.08591,                0.02524,                0.00609,                  3.574,                 3.8531,                 2.3016,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.6122,                 3.4385,                 2.0727,                0.08978,                  0.063,                0.02146,                 0.0064,                 3.5822,                 3.1873,                 2.3217,               0.001802,               0.001802,               0.001802
                     12,                 3.5107,                 3.3357,                 2.1843,                0.08526,                0.09049,                0.02163,                0.00522,                 3.5147,                 3.2276,                 2.2298,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.5293,                 3.2925,                 2.1384,                0.09582,                0.10653,                0.03323,                0.00955,                  3.346,                  3.671,                 2.0753,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.4598,                 3.1294,                  2.019,                0.08787,                0.10195,                0.02416,                0.00682,                 3.3275,                 3.9561,                 2.0731,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.3372,                 3.1445,                 2.0002,                0.10287,                0.11684,                0.03295,                0.00867,                 3.2962,                 3.3928,                 2.0402,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.3354,                      3,                 1.9355,                0.11972,                0.11111,                0.04353,                0.01279,                 3.2173,                 2.7605,                 1.9651,               0.001703,               0.001703,               0.001703
                     17,                 3.3215,                  2.995,                 1.9642,                0.14653,                0.05498,                 0.0423,                0.01145,                 3.1644,                 2.8091,                 1.9775,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.2349,                 3.0035,                 1.9866,                0.11132,                0.10195,                0.04535,                0.01171,                 3.1753,                 2.8704,                 1.9372,              0.0016634,              0.0016634,              0.0016634
                     19,                  3.211,                  2.951,                 1.9219,                0.15373,                0.10195,                0.05424,                0.01707,                 3.1155,                 2.6356,                 1.9235,              0.0016436,              0.0016436,              0.0016436
                     20,                 3.1867,                 2.8194,                  1.875,                0.13764,                0.03666,                0.03123,                 0.0087,                 3.2656,                 2.9817,                  2.004,              0.0016238,              0.0016238,              0.0016238
                     21,                 3.1993,                 2.9186,                 1.8649,                0.15114,                0.11569,                0.05317,                 0.0129,                 3.2179,                  2.685,                 1.9347,               0.001604,               0.001604,               0.001604
                     22,                 3.2241,                 2.8136,                 1.8705,                0.16884,                 0.0882,                0.05284,                0.01573,                 3.0624,                 2.6659,                 1.8497,              0.0015842,              0.0015842,              0.0015842
                     23,                 3.1045,                 2.7482,                 1.8026,                0.15614,                0.14548,                0.06692,                0.02148,                 2.9682,                 2.5614,                 1.7966,              0.0015644,              0.0015644,              0.0015644
                     24,                 3.1495,                 2.8275,                 1.8087,                0.18284,                0.14891,                 0.0837,                0.02267,                 2.9993,                 2.7003,                 1.7626,              0.0015446,              0.0015446,              0.0015446
                     25,                 3.0631,                 2.7892,                 1.7709,                 0.1553,                0.14089,                 0.0731,                  0.023,                 2.9838,                 2.5027,                 1.7965,              0.0015248,              0.0015248,              0.0015248
                     26,                 3.0117,                  2.687,                 1.7034,                0.19219,                0.12944,                 0.0744,                 0.0239,                 2.9333,                 2.5689,                 1.7732,               0.001505,               0.001505,               0.001505
                     27,                 2.9952,                 2.6616,                 1.7422,                0.17629,                0.16037,                 0.0743,                0.02266,                 2.9518,                 2.6226,                 1.8072,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.9981,                 2.7382,                 1.7561,                0.24348,                0.12027,                0.09176,                0.03158,                 2.9023,                  2.543,                 1.7567,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.9969,                 2.6946,                 1.7374,                0.14732,                0.15006,                0.06706,                0.02277,                 2.9107,                 2.5352,                 1.7816,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.9654,                 2.7714,                  1.747,                 0.1718,                0.16151,                0.07718,                0.02535,                 2.8212,                 2.4746,                 1.7486,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.9284,                 2.6393,                 1.7144,                0.19156,                0.17869,                0.09126,                0.03085,                 2.8264,                   2.41,                 1.7075,               0.001406,               0.001406,               0.001406
                     32,                 2.9502,                 2.6144,                 1.6895,                0.17919,                0.16838,                 0.0931,                 0.0322,                 2.7828,                 2.4223,                 1.6923,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.8582,                 2.5761,                 1.6991,                0.21734,                0.16838,                0.09695,                0.03414,                 2.7514,                 2.4187,                 1.7027,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.8745,                 2.5134,                 1.6543,                0.22029,                0.16037,                0.10829,                0.03803,                 2.8121,                 2.3674,                 1.6937,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.9258,                 2.5396,                 1.6548,                0.22871,                0.17984,                0.11563,                0.03797,                 2.7726,                 2.3345,                 1.6586,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.7945,                 2.4619,                 1.6365,                0.24331,                0.18099,                0.12844,                0.04832,                 2.7286,                 2.3387,                 1.6597,               0.001307,               0.001307,               0.001307
                     37,                 2.8527,                 2.5447,                 1.6618,                0.22841,                0.17411,                0.11059,                0.03708,                 2.7673,                 2.4436,                 1.6875,              0.0012872,              0.0012872,              0.0012872
                     38,                  2.851,                 2.5122,                 1.6288,                0.21921,                0.15464,                0.10927,                0.03806,                 2.8111,                  2.398,                 1.6643,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.804,                 2.5073,                 1.6688,                0.24391,                0.17182,                0.12627,                0.04753,                 2.6373,                 2.2992,                 1.6473,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.8303,                 2.5096,                 1.6629,                0.23819,                0.18328,                0.13577,                 0.0506,                 2.6196,                 2.2517,                 1.5935,              0.0012278,              0.0012278,              0.0012278
